timestamp,open,high,low,close,volume
2018-01-02,267.84,268.81,267.4,268.77,87974830.0
2018-01-03,268.96,270.64,268.96,270.47,92414326.0
2018-01-04,271.2,272.16,270.5447,271.57,85277552.0
2018-01-05,272.51,273.56,271.95,273.4,88073906.0
2018-01-08,273.31,274.1,272.98,273.91,64945938.0
2018-01-09,274.4,275.25,274.081,274.53,58485720.0
2018-01-10,273.68,274.42,272.92,274.08,70699507.0
2018-01-11,274.75,276.12,274.56,276.09,64026406.0
2018-01-12,276.42,278.11,276.0819,277.94,92919614.0
2018-01-16,279.35,280.09,276.18,277.06,110515722.0
2018-01-17,278.03,280.05,276.97,279.61,116747453.0
2018-01-18,279.48,279.96,278.58,279.18,105410481.0
2018-01-19,279.8,280.41,279.14,280.39,143550675.0
2018-01-22,280.17,282.69,280.11,282.67,102545061.0
2018-01-23,282.74,283.62,282.37,283.24,99464685.0
2018-01-24,284.02,284.7,281.84,283.12,136833465.0
2018-01-25,284.16,284.27,282.405,283.3,85877429.0
2018-01-26,284.25,286.6285,283.96,286.56,111355443.0
2018-01-29,285.93,286.43,284.5,284.64,92693728.0
2018-01-30,282.6,284.736,281.22,281.63,134420733.0
2018-01-31,282.73,283.3,280.68,281.91,121930951.0
2018-02-01,281.07,283.06,280.68,281.68,90994293.0
2018-02-02,280.08,280.23,275.41,275.51,178406624.0
2018-02-05,273.45,275.85,263.31,264.11,304474048.0
2018-02-06,259.94,269.7,258.7,269.06,357564910.0
2018-02-07,268.5,272.36,267.58,267.67,169549624.0
2018-02-08,268.01,268.17,257.59,257.77,252221121.0
2018-02-09,260.8,263.61,252.92,261.74,286122968.0
2018-02-12,263.83,267.01,261.6644,265.32,146941527.0
2018-02-13,263.97,266.62,263.31,266.05,82434058.0
2018-02-14,264.31,270.0,264.3,269.67,123355652.0
2018-02-15,271.57,273.04,268.77,272.93,112606261.0
2018-02-16,272.32,275.32,272.27,273.16,163292191.0
2018-02-20,272.03,273.67,270.5,271.44,91166253.0
2018-02-21,271.9,274.72,269.94,269.97,100293719.0
2018-02-22,271.1,273.05,269.64,270.26,122557536.0
2018-02-23,271.79,274.71,271.25,274.65,96252415.0
2018-02-26,275.93,278.01,275.26,277.91,88758833.0
2018-02-27,278.11,278.92,274.36,274.38,102930024.0
2018-02-28,275.68,276.19,271.29,271.41,129776260.0
2018-03-01,271.41,273.17,266.0,267.72,179183801.0
2018-03-02,265.8,269.72,264.82,269.08,141448051.0
2018-03-05,267.73,272.89,267.61,272.12,99078649.0
2018-03-06,273.3,273.39,271.18,272.83,79922993.0
2018-03-07,270.42,273.18,270.2,272.83,88202658.0
2018-03-08,273.55,274.24,272.42,274.03,69768764.0
2018-03-09,275.7,278.87,275.34,278.76,117331321.0
2018-03-12,279.2,279.91,278.0801,278.54,73175656.0
